n,Hannanum,Kkma,Komoran,Mecab,Twitter
1,5.3938369751,16.6398038864,7.34091210365,0.000165939331055,2.30271697044
10,0.536067008972,0.262974023819,24.5136799812,0.000203132629395,0.162688016891
100,0.501404047012,0.413813829422,4.24969601631,0.000364065170288,0.449425935745
1000,0.621145963669,1.35704493523,23.4779350758,0.000108003616333,1.74685907364
10000,2.50632500648,6.09096384048,92.3648240566,0.00019907951355,0.992733955383
100000,10.729902029,59.6152350903,18.4644019604,0.0125739574432,3.77236104012
